Loan_id,as_of_year,occupancy,loan_amt_thousands,county_code,applicant_income_thousands,population,ffiec_median_fam_income,tract_to_msa_income_pct,num_owner_occupied_units,num_1_to_4_family_units,approved,agency_code_Consumer_Financial_Protection_Bureau__CFPB_,agency_code_Department_of_Housing_and_Urban_Development__HUD_,agency_code_Federal_Deposit_Insurance_Corporation__FDIC_,agency_code_Federal_Reserve_System__FRS_,agency_code_National_Credit_Union_Administration__NCUA_,agency_code_Office_of_the_Comptroller_of_the_Currency__OCC_,loan_type_Conventional__any_loan_other_than_FHA__VA__FSA__or_RHS_loans_,loan_type_FHA_insured__Federal_Housing_Administration_,loan_type_FSA_RHS__Farm_Service_Agency_or_Rural_Housing_Service_,loan_type_VA_guaranteed__Veterans_Administration_,property_type_Manufactured_housing,property_type_One_to_four_family__other_than_manufactured_housing_,loan_purpose_Home_improvement,loan_purpose_Home_purchase,loan_purpose_Refinancing,preapproval_Not_applicable,preapproval_Preapproval_was_not_requested,preapproval_Preapproval_was_requested,purchaser_type_Affiliate_institution,purchaser_type_Commercial_bank__savings_bank_or_savings_association,purchaser_type_Fannie_Mae__FNMA_,purchaser_type_Farmer_Mac__FAMC_,purchaser_type_Freddie_Mac__FHLMC_,purchaser_type_Ginnie_Mae__GNMA_,purchaser_type_Life_insurance_company__credit_union__mortgage_bank__or_finance_company,purchaser_type_Loan_was_not_originated_or_was_not_sold_in_calendar_year_covered_by_register,purchaser_type_Other_type_of_purchaser,purchaser_type_Private_securitization,hoepa_status_HOEPA_loan,hoepa_status_Not_a_HOEPA_loan,lien_status_Not_applicable__purchased_loans_,lien_status_Not_secured_by_a_lien,lien_status_Secured_by_a_first_lien,lien_status_Secured_by_a_subordinate_lien
1695,2016,1,60,91,26,4852,59400,82.13,1316,1700,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1696,2016,1,61,91,27,4852,59400,82.13,1316,1700,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1697,2016,1,253,57,126,8181,65600,147.07,2528,3166,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1698,2016,1,112,133,37,7158,65600,103.71,2099,2799,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1699,2016,1,176,51,109,2684,51200,83.79,426,816,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1700,2016,1,56,51,25,2684,51200,83.79,426,816,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1701,2016,1,264,69,112,4601,59400,89.99,1240,1745,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1702,2016,1,188,69,40,4601,59400,89.99,1240,1745,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1703,2016,1,76,59,46,5881,59400,102.59,1495,2292,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1704,2016,1,199,59,50,5881,59400,102.59,1495,2292,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1705,2016,1,203,59,52,5881,59400,102.59,1495,2292,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1706,2016,1,70,59,30,5881,59400,102.59,1495,2292,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1707,2016,1,144,59,89,5881,59400,102.59,1495,2292,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1708,2016,1,41,91,59,6394,59400,77.58,1900,2846,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1709,2016,1,16,91,75,6394,59400,77.58,1900,2846,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
